Occupation,Emp_2020,Emp_2030,Emp_Change,Emp_Change_P,Job_Openings_Yearly,Wage,Educ_Level
"Lifeguards, ski patrol, and other recreational protective service workers",117.5,146.3,28.7,24.5,35.7,25020,No formal educational credential
Light truck drivers,1035.8,1136.8,101.1,9.8,128.3,37050,High school diploma or equivalent
"Lighting technicians and media and communication equipment workers, all other",23.3,27.1,3.8,16.2,2.9,70980,High school diploma or equivalent
"Loading and moving machine operators, underground mining",3.5,3.3,-0.2,-5.5,0.4,56640,No formal educational credential
Loan interviewers and clerks,208.8,203.8,-5.0,-2.4,17.6,41370,High school diploma or equivalent
Loan officers,322.1,326.4,4.3,1.3,25.0,63960,Bachelor's degree
"Locker room, coatroom, and dressing room attendants",12.0,15.2,3.2,26.3,3.2,26700,High school diploma or equivalent
Locksmiths and safe repairers,19.2,18.8,-0.5,-2.3,1.8,43690,High school diploma or equivalent
Locomotive engineers,26.5,27.9,1.5,5.6,2.5,71870,High school diploma or equivalent
Lodging managers,48.1,52.2,4.2,8.7,5.8,56670,High school diploma or equivalent
Log graders and scalers,4.0,4.3,0.3,7.7,0.7,36900,High school diploma or equivalent
Logging equipment operators,30.9,33.5,2.5,8.1,5.1,43210,High school diploma or equivalent
"Logging workers, all other",5.0,5.3,0.3,6.3,0.8,41410,High school diploma or equivalent
Logisticians,191.0,247.3,56.4,29.5,24.5,76270,Bachelor's degree
Machine feeders and offbearers,63.0,66.9,3.9,6.3,8.8,33000,No formal educational credential
Machinists,363.0,391.8,28.8,7.9,41.2,45840,High school diploma or equivalent
Magnetic resonance imaging technologists,42.0,45.3,3.4,8.1,3.4,74690,Associate's degree
Maids and housekeeping cleaners,1212.8,1350.3,137.5,11.3,183.3,26220,No formal educational credential
"Mail clerks and mail machine operators, except postal service",82.2,78.7,-3.4,-4.2,8.8,31920,High school diploma or equivalent
"Maintenance and repair workers, general",1444.1,1561.1,117.0,8.1,152.3,40850,High school diploma or equivalent
"Maintenance workers, machinery",65.6,72.6,7.0,10.7,6.8,50100,High school diploma or equivalent
"Makeup artists, theatrical and performance",3.1,4.2,1.1,37.0,0.5,106920,Postsecondary nondegree award
Management analysts,907.6,1032.0,124.4,13.7,99.4,87660,Bachelor's degree
Manicurists and pedicurists,123.0,163.1,40.1,32.6,18.8,27870,Postsecondary nondegree award
Manufactured building and mobile home installers,3.4,2.8,-0.6,-18.4,0.3,35120,High school diploma or equivalent
Marine engineers and naval architects,9.8,10.2,0.4,3.9,0.5,95440,Bachelor's degree
Market research analysts and marketing specialists,740.9,904.5,163.6,22.1,96.0,65810,Bachelor's degree
Marketing managers,293.7,323.1,29.4,10.0,28.5,142170,Bachelor's degree
Marriage and family therapists,73.2,85.1,12.0,16.4,8.5,51340,Master's degree
Massage therapists,144.6,191.1,46.5,32.2,23.3,43620,Postsecondary nondegree award
"Material moving workers, all other",27.1,29.6,2.5,9.1,3.6,32850,No formal educational credential
Materials engineers,25.1,27.2,2.1,8.4,1.8,95640,Bachelor's degree
Materials scientists,7.1,7.3,0.3,3.9,0.7,99460,Bachelor's degree
"Mathematical science teachers, postsecondary",56.1,59.2,3.2,5.6,5.6,73650,Doctoral or professional degree
Mathematicians,2.7,2.8,0.1,2.7,0.2,110860,Master's degree
"Meat, poultry, and fish cutters and trimmers",153.0,158.0,5.0,3.3,18.4,30190,No formal educational credential
Mechanical door repairers,22.8,25.5,2.8,12.2,2.2,43220,High school diploma or equivalent
Mechanical drafters,53.6,51.0,-2.5,-4.7,4.7,58270,Associate's degree
Mechanical engineering technologists and technicians,40.4,42.7,2.3,5.7,4.0,58230,Associate's degree
Mechanical engineers,299.2,320.1,20.9,7.0,20.2,90160,Bachelor's degree
"Media and communication workers, all other",21.5,26.4,4.9,22.9,2.7,49730,High school diploma or equivalent
Medical and health services managers,429.8,569.4,139.6,32.5,51.8,104280,Bachelor's degree
Medical appliance technicians,14.6,16.7,2.1,14.4,2.2,41750,High school diploma or equivalent
Medical assistants,720.9,853.5,132.6,18.4,104.4,35850,Postsecondary nondegree award
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",335.0,363.6,28.6,8.5,27.4,44090,Postsecondary nondegree award
Medical equipment preparers,58.7,63.6,4.9,8.4,7.9,38800,High school diploma or equivalent
Medical equipment repairers,54.9,58.8,3.9,7.2,6.3,51610,Associate's degree
"Medical scientists, except epidemiologists",133.9,156.6,22.6,16.9,12.6,91510,Doctoral or professional degree
Medical secretaries and administrative assistants,611.2,676.1,64.9,10.6,75.2,37350,High school diploma or equivalent
Medical transcriptionists,52.4,48.5,-3.9,-7.4,6.6,35270,Postsecondary nondegree award
"Meeting, convention, and event planners",125.9,148.0,22.1,17.5,16.4,51560,Bachelor's degree
Mental health and substance abuse social workers,124.0,142.5,18.5,14.9,14.0,48720,Master's degree
Merchandise displayers and window trimmers,136.4,142.4,6.1,4.4,13.2,30810,High school diploma or equivalent
"Metal workers and plastic workers, all other",21.4,21.0,-0.4,-2.0,2.1,35520,High school diploma or equivalent
Metal-refining furnace operators and tenders,15.1,15.5,0.4,2.6,1.4,44610,High school diploma or equivalent
"Meter readers, utilities",27.0,24.7,-2.3,-8.6,1.7,41940,High school diploma or equivalent
Microbiologists,21.4,22.4,1.0,4.6,2.0,84400,Bachelor's degree
"Middle school teachers, except special and career/technical education",598.5,643.3,44.8,7.5,48.4,60810,Bachelor's degree
"Milling and planing machine setters, operators, and tenders, metal and plastic",15.7,13.3,-2.4,-15.1,1.2,43150,High school diploma or equivalent
Millwrights,44.2,48.7,4.6,10.3,4.4,57260,High school diploma or equivalent
"Mining and geological engineers, including mining safety engineers",6.3,6.6,0.2,3.9,0.4,93800,Bachelor's degree
Miscellaneous assemblers and fabricators,1262.8,1178.2,-84.6,-6.7,125.2,33550,High school diploma or equivalent
Miscellaneous construction and related workers,32.9,35.6,2.7,8.1,4.2,39660,High school diploma or equivalent
"Miscellaneous entertainers and performers, sports and related workers",33.7,45.2,11.4,33.8,4.9,0,No formal educational credential
"Miscellaneous first-line supervisors, protective service workers",81.4,89.8,8.3,10.2,9.0,52650,High school diploma or equivalent
"Mixing and blending machine setters, operators, and tenders",118.1,122.7,4.6,3.9,13.5,38690,High school diploma or equivalent
"Mobile heavy equipment mechanics, except engines",152.1,169.9,17.8,11.7,17.5,55350,High school diploma or equivalent
"Model makers, metal and plastic",3.4,3.3,-0.2,-4.9,0.3,54780,High school diploma or equivalent
"Model makers, wood",1.0,1.3,0.4,38.6,0.1,64050,High school diploma or equivalent
Models,2.7,3.0,0.3,11.4,0.5,31910,No formal educational credential
"Molders, shapers, and casters, except metal and plastic",46.3,53.3,7.0,15.1,5.7,35440,High school diploma or equivalent
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",157.7,148.2,-9.6,-6.1,14.4,33100,High school diploma or equivalent
"Morticians, undertakers, and funeral arrangers",25.0,26.1,1.0,4.1,3.1,54100,Associate's degree
Motion picture projectionists,1.7,2.9,1.2,70.5,0.6,27490,No formal educational credential
"Motor vehicle operators, all other",59.6,65.7,6.2,10.3,10.6,37170,No formal educational credential
Motorboat mechanics and service technicians,21.7,24.6,2.9,13.3,2.8,43320,High school diploma or equivalent
Motorboat operators,2.6,3.0,0.4,14.7,0.3,55910,Postsecondary nondegree award
Motorcycle mechanics,14.0,15.4,1.4,9.6,1.7,38010,Postsecondary nondegree award
"Multiple machine tool setters, operators, and tenders, metal and plastic",138.4,150.2,11.8,8.6,15.6,37510,High school diploma or equivalent
Museum technicians and conservators,13.5,16.3,2.8,20.6,1.9,45710,Bachelor's degree
Music directors and composers,48.1,51.2,3.0,6.3,6.0,52250,Bachelor's degree
Musical instrument repairers and tuners,7.8,7.5,-0.3,-3.9,0.8,36810,High school diploma or equivalent
Musicians and singers,157.3,174.8,17.5,11.1,20.8,0,No formal educational credential
Natural sciences managers,79.0,83.5,4.5,5.8,6.0,137940,Bachelor's degree
Network and computer systems administrators,350.3,369.1,18.8,5.4,24.9,84810,Bachelor's degree
